"id","card_number","count","enter_at","exit_at","fee","available","has_coupon","is_short_stay","discount_50","discount_150"
eagd-diepp,27,3,"2023-07-22 04:50:35","2023-07-22 05:18:07",900,1,0,1,0,0
EB_eJ3oCf6,21,4,"2023-07-23 01:07:06","2023-07-23 01:18:47",1200,1,0,1,0,0
ED9WRiqjFp,20,2,"2023-07-22 01:13:17","2023-07-22 01:29:50",700,1,0,0,0,0
EmBUSahfr8,12,1,"2023-07-23 04:18:02","2023-07-23 04:19:29",300,1,0,1,0,0
ewxtP3sThD,1,1,"2023-07-22 06:22:42","2023-07-22 07:22:09",300,1,0,1,0,0
f827v5Xwd6,12,2,"2023-07-23 05:25:47","2023-07-23 05:38:45",1100,1,1,1,0,0
fA63Lu8ITR,4,2,"2023-07-22 06:44:59","2023-07-22 06:55:12",600,1,0,1,0,0
faeUVcEca4,11,1,"2023-07-23 00:37:26","2023-07-23 00:56:31",300,1,0,1,0,0
feXBRdKbvt,8,2,"2023-07-22 00:36:47","2023-07-22 00:49:37",900,1,0,1,0,0
FfmWDaAoWK,14,3,"2023-07-22 00:48:45","2023-07-22 01:11:42",1050,1,0,0,0,0
FfQJzxTbYp,19,2,"2023-07-23 00:58:09","2023-07-23 01:21:08",600,1,0,1,0,0
FGMF1yefP0,21,3,"2023-07-22 01:14:09","2023-07-22 01:30:58",1050,1,0,0,0,0
fh2weW8cUC,7,2,"2023-07-22 05:12:50","2023-07-22 05:30:10",800,1,1,1,0,0
fi2cuxhixO,14,2,"2023-07-22 07:06:50","2023-07-22 07:19:47",600,1,0,1,0,0
FitRFvIKxF,16,1,"2023-07-22 00:52:34","2023-07-22 01:05:59",300,1,0,1,0,0
FpCAmvJZnk,5,4,"2023-07-22 00:22:32","2023-07-22 00:36:05",1200,1,0,1,0,0
FqUlI8SrBr,25,2,"2023-07-22 04:44:02",,,0,0,0,0,0
Fvxh1lQk_w,12,2,"2023-07-22 05:41:10","2023-07-22 05:53:30",600,1,0,1,0,0
g0njU1T1Y6,13,3,"2023-07-23 00:45:21","2023-07-23 00:52:12",900,1,0,1,0,0
GJ8GbtaRjj,8,4,"2023-07-22 05:16:56","2023-07-22 05:34:48",1200,1,0,1,0,0
GucdGn6_yZ,5,4,"2023-07-23 00:30:54","2023-07-23 00:31:03",1200,1,0,1,0,0
gYzl2LB0pn,5,1,"2023-07-22 05:12:31","2023-07-22 05:30:41",300,1,0,1,0,0
hL5vsllyJF,3,2,"2023-07-23 05:01:43","2023-07-23 05:07:44",900,1,0,1,0,0
HmxCsnHRko,6,2,"2023-07-22 02:06:47","2023-07-22 02:19:47",600,1,0,1,0,0
hpdSSo-J7v,13,2,"2023-07-22 02:27:34","2023-07-22 02:44:00",600,1,0,1,0,0
IAC4MZN9da,1,3,"2023-07-23 00:23:17",,,0,0,0,0,0
iD170DWyLW,29,2,"2023-07-22 03:04:54","2023-07-22 03:17:38",600,1,0,1,0,0
IH55qYqIam,2,2,"2023-07-22 01:40:26","2023-07-22 02:00:04",600,1,0,1,0,0
IluYSU9jaK,27,2,"2023-07-23 04:51:24","2023-07-23 04:56:05",500,1,1,1,0,0
iNJwVkiXLL,8,2,"2023-07-23 04:12:37","2023-07-23 04:16:11",600,1,0,1,0,0
iYHScA2VHQ,16,2,"2023-07-22 02:37:31","2023-07-22 02:44:56",600,1,0,1,0,0
iyuBP9M2eA,18,2,"2023-07-23 01:20:54","2023-07-23 01:28:59",600,1,0,1,0,0
j1jMsscXwK,2,2,"2023-07-23 00:20:01","2023-07-23 00:28:47",600,1,0,1,0,0
J6UQ-bHsOX,8,2,"2023-07-22 02:20:23","2023-07-22 02:31:05",600,1,0,1,0,0
j9HO0dBObk,3,3,"2023-07-23 00:31:32","2023-07-23 00:39:58",900,1,0,1,0,0
jbgn50grS5,3,3,"2023-07-23 02:58:10","2023-07-23 03:02:52",900,1,0,1,0,0
JcBnZaXddp,13,2,"2023-07-22 05:44:12","2023-07-22 05:52:45",600,1,0,1,0,0
JDVvZmN4bk,2,4,"2023-07-22 06:34:05","2023-07-22 06:42:09",1200,1,0,1,0,0
jGf6b3GKRt,8,2,"2023-07-23 00:32:50","2023-07-23 00:41:40",600,1,0,1,0,0
Jo_Y8nHKMG,20,2,"2023-07-22 05:59:00","2023-07-22 06:09:08",900,1,0,1,0,0
K-x6C4p8H1,18,3,"2023-07-23 00:54:46","2023-07-23 01:06:34",900,1,0,1,0,0
kC4ordwAFt,11,2,"2023-07-23 04:24:59","2023-07-23 04:32:54",600,1,0,1,0,0
kH9NztjgQZ,11,4,"2023-07-22 07:06:21","2023-07-22 07:14:54",1200,1,0,1,0,0
KHiL9vQNzY,2,2,"2023-07-22 00:17:01","2023-07-22 00:29:57",700,1,0,0,0,0
Kkm2q6DSOF,3,3,"2023-07-22 05:26:34","2023-07-22 05:33:24",900,1,0,1,0,0
KxnEQSLHgF,14,2,"2023-07-22 04:21:53","2023-07-22 04:30:54",600,1,0,1,0,0
kzN0HEXKsu,5,2,"2023-07-23 03:08:40","2023-07-23 03:17:41",600,1,0,1,0,0
L-B6qTnYCx,26,2,"2023-07-23 03:46:33","2023-07-23 03:57:12",600,1,0,1,0,0
l1eucFtnaf,5,1,"2023-07-23 05:08:03","2023-07-23 05:14:53",300,1,0,1,0,0
L3kYkRlQqW,30,4,"2023-07-22 05:13:35","2023-07-22 05:13:44",1200,1,0,1,0,0
l3qoTW5rGd,9,2,"2023-07-22 06:51:34","2023-07-22 06:59:23",600,1,0,1,0,0
L9xtPMUXbJ,10,3,"2023-07-22 07:19:02","2023-07-22 07:21:54",900,1,0,1,0,0
ldfcVp9H5W,5,2,"2023-07-23 04:09:58","2023-07-23 04:21:17",500,1,1,1,0,0
ljQ420bkt7,9,2,"2023-07-22 02:23:32","2023-07-22 02:34:52",900,1,0,1,0,0
Ll8n6T--TZ,5,2,"2023-07-22 06:37:04","2023-07-22 06:50:50",600,1,0,1,0,0
LlnFxp3swj,4,3,"2023-07-22 01:44:26","2023-07-22 02:03:43",900,1,0,1,0,0
LOPzplPhE1,12,2,"2023-07-22 00:44:28","2023-07-22 01:01:06",1050,1,0,0,0,0
LPLcBAKa4Y,28,2,"2023-07-22 06:24:07","2023-07-22 06:38:14",600,1,0,1,0,0
Luh9vMC6Az,20,3,"2023-07-22 04:27:03","2023-07-22 04:41:49",900,1,0,1,0,0
LXGejLTIvy,23,3,"2023-07-22 01:21:02","2023-07-22 01:41:34",900,1,0,1,0,0
miyXe_-ivr,26,2,"2023-07-22 02:59:52","2023-07-22 03:09:22",600,1,0,1,0,0
MIZ_NyEMmw,12,3,"2023-07-23 00:49:36","2023-07-23 00:50:33",900,1,0,1,0,0
mJiCP13BCJ,21,2,"2023-07-23 03:42:40","2023-07-23 03:51:12",600,1,0,1,0,0
MOsXMbJfIH,27,2,"2023-07-23 01:17:24","2023-07-23 01:25:22",600,1,0,1,0,0
mr4Tak9QTo,7,2,"2023-07-23 05:11:51","2023-07-23 05:24:48",600,1,0,1,0,0
mVCJ4dI2Lv,2,1,"2023-07-22 03:11:23","2023-07-22 03:25:03",300,1,0,1,0,0
MVDfUZ4930,17,3,"2023-07-22 05:54:01","2023-07-22 06:06:08",900,1,0,1,0,0
mvkF1yOP3j,16,2,"2023-07-23 01:25:57","2023-07-23 01:41:36",600,1,0,1,0,0
mWBOrsUb9z,25,2,"2023-07-23 03:01:54","2023-07-23 03:04:55",700,1,0,0,0,0
N9M5y_2FxS,15,3,"2023-07-23 00:48:44","2023-07-23 00:59:41",900,1,0,1,0,0
nE0aeFzTfN,21,4,"2023-07-22 04:42:15","2023-07-22 04:53:02",1200,1,0,0,0,0
nFka1lSXRM,7,2,"2023-07-23 00:25:25","2023-07-23 00:42:04",600,1,0,1,0,0
nind2S77Kr,23,1,"2023-07-23 01:16:46","2023-07-23 01:28:09",300,1,0,1,0,0
nR3mzRwug9,26,2,"2023-07-22 01:32:30","2023-07-22 01:43:32",600,1,0,1,0,0
nRsBSmD6MM,6,4,"2023-07-23 00:32:07","2023-07-23 00:41:14",1200,1,0,1,0,0
Nt_fL-5td9,7,2,"2023-07-22 03:22:05","2023-07-22 03:26:08",600,1,0,1,0,0
nXrddogtdt,15,1,"2023-07-22 00:49:48","2023-07-22 01:10:36",350,1,0,0,0,0
NZIdT6VR-2,11,2,"2023-07-22 00:41:01","2023-07-22 01:02:08",700,1,0,0,0,0
O_nUENHZIy,7,4,"2023-07-22 00:25:40","2023-07-22 00:47:52",1400,1,0,0,0,0
O7WsDOx5-P,21,2,"2023-07-22 06:04:52","2023-07-22 06:12:28",600,1,0,1,0,0
op5vAOphjD,11,1,"2023-07-22 03:33:34","2023-07-22 03:47:39",300,1,0,1,0,0
owQfxizUQm,16,2,"2023-07-23 05:36:58","2023-07-23 05:44:35",600,1,0,1,0,0
oyDIgv3HOL,2,2,"2023-07-22 05:27:06","2023-07-22 05:37:54",600,1,0,1,0,0
p2BS8HvKVH,29,4,"2023-07-22 05:22:28","2023-07-22 05:36:11",1200,1,0,1,0,0
P2pZGSZHqr,18,2,"2023-07-23 05:42:24","2023-07-23 06:00:49",600,1,1,0,0,0
pel7rN5kYh,1,2,"2023-07-23 03:53:42","2023-07-23 04:01:10",600,1,0,1,0,0
pG1cyUs28i,9,2,"2023-07-23 03:15:34","2023-07-23 03:25:50",600,1,0,1,0,0
pJHJs9qzwd,9,2,"2023-07-22 03:28:46","2023-07-22 03:37:27",500,1,1,1,0,0
PL05Nbgrp4,2,2,"2023-07-23 03:59:00","2023-07-23 04:04:05",600,1,0,1,0,0
PMdRjYXkW4,10,4,"2023-07-22 03:34:24","2023-07-22 03:49:40",1200,1,0,1,0,0
PMkbbDryPM,30,3,"2023-07-22 03:07:00","2023-07-22 03:14:04",900,1,0,1,0,0
PQIOG0D6vM,2,2,"2023-07-23 05:00:14","2023-07-23 05:07:01",600,1,0,1,0,0
PRApcc465Z,20,2,"2023-07-23 05:49:24","2023-07-23 06:04:16",1750,1,0,0,0,0
q_sX_8N1FX,7,3,"2023-07-23 04:03:27","2023-07-23 04:17:25",900,1,0,1,0,0
q64okMyNTg,16,2,"2023-07-23 04:31:27","2023-07-23 04:35:34",600,1,0,1,0,0
Q7FThXjEy9,18,1,"2023-07-23 03:27:11","2023-07-23 03:31:28",300,1,0,1,0,0
q8m4dQ54mQ,20,2,"2023-07-23 03:41:38","2023-07-23 03:50:32",600,1,0,1,0,0
QicxXQf4_R,15,3,"2023-07-22 02:37:13","2023-07-22 02:46:47",900,1,0,1,0,0
qN5QXCekg6,22,2,"2023-07-23 05:49:51","2023-07-23 05:59:36",500,1,1,1,0,0
qN9nwt38A3,23,2,"2023-07-23 03:41:53","2023-07-23 04:43:58",600,1,0,1,0,0
qUOBY1G2Bv,29,2,"2023-07-22 06:24:19","2023-07-22 06:33:12",600,1,0,1,0,0
qx-X1Fers9,1,2,"2023-07-22 05:26:08","2023-07-22 05:31:32",600,1,0,1,0,0
r0OkOpa3OX,25,2,"2023-07-23 04:46:11","2023-07-23 04:57:23",500,1,1,1,0,0
r2I-PxZNwq,1,1,"2023-07-22 00:04:40","2023-07-22 00:08:35",300,1,0,1,0,0
R4-QWfE7UV,15,2,"2023-07-22 05:43:46","2023-07-22 05:57:37",600,1,0,1,0,0
r5smcowVDq,26,2,"2023-07-23 01:17:09","2023-07-23 01:31:24",600,1,0,1,0,0
rfiKYD6AUH,29,4,"2023-07-22 01:37:34","2023-07-22 01:51:43",1200,1,0,1,0,0
Rh-EYZXXQD,27,2,"2023-07-23 03:51:44","2023-07-23 03:55:03",900,1,0,1,0,0
RiFALbLzLv,12,2,"2023-07-22 07:04:14","2023-07-22 07:10:33",500,1,1,1,0,0
RIzeDSg6PW,9,4,"2023-07-23 05:20:25","2023-07-23 05:37:51",1400,1,0,0,0,0
s4sfxR8pn8,1,4,"2023-07-23 00:28:08","2023-07-23 00:28:38",1200,1,0,1,0,0
SFa1yLIkHV,23,2,"2023-07-22 02:53:06","2023-07-22 02:59:19",600,1,0,1,0,0
sfGRuEgbAz,26,1,"2023-07-23 04:50:22","2023-07-23 04:59:08",300,1,0,1,0,0
sGAXysq0fz,13,2,"2023-07-23 05:31:19","2023-07-23 05:40:38",900,0,0,1,0,0
SGmHPrS3Go,23,2,"2023-07-22 06:07:23","2023-07-22 06:18:06",600,1,0,1,0,0
skChH4MURC,24,2,"2023-07-23 01:12:36","2023-07-23 01:23:43",600,1,0,1,0,0
SL1GDsQpxs,28,2,"2023-07-22 03:05:18","2023-07-22 03:13:23",600,1,0,1,0,0
spQbSlPGWL,14,2,"2023-07-23 00:46:41","2023-07-23 00:57:31",600,1,0,1,0,0
SUyBSqxNDx,25,2,"2023-07-22 06:16:58","2023-07-22 06:32:08",600,1,0,1,0,0
SvnAwze-O_,1,2,"2023-07-22 01:39:59","2023-07-22 01:54:10",600,1,0,1,0,0
SVyfuuHwHf,24,2,"2023-07-23 01:28:38","2023-07-23 03:05:21",700,1,0,0,0,0
TDiCnzCpFc,25,2,"2023-07-22 02:59:41","2023-07-22 03:39:04",700,0,0,0,0,0
TFRLLAIHeY,13,1,"2023-07-23 03:12:36","2023-07-23 03:13:17",300,1,0,1,0,0
TJoy25WVo9,25,4,"2023-07-23 03:45:06","2023-07-23 03:58:31",1200,1,0,1,0,0
tKSNE2T6YD,21,4,"2023-07-22 02:45:59","2023-07-22 02:56:36",1200,1,0,1,0,0
tOq2bDyPbi,15,2,"2023-07-23 05:33:44","2023-07-23 05:43:54",500,1,1,1,0,0
tRtMGoxB_B,6,4,"2023-07-23 05:15:48","2023-07-23 05:30:04",1200,1,1,0,0,0
twG2H6P0jW,30,2,"2023-07-22 06:27:06","2023-07-22 06:36:43",400,1,0,1,0,0
TWLL8nD49N,7,1,"2023-07-22 02:14:47","2023-07-22 02:18:05",300,1,0,1,0,0
U4oWW693lg,3,3,"2023-07-23 05:41:45",,,0,0,0,0,0
U5NI6MWv7s,2,4,"2023-07-23 02:55:43","2023-07-23 02:56:23",1200,1,0,1,0,0
U7Gj9ujnwF,19,1,"2023-07-23 04:38:10","2023-07-23 04:47:11",300,1,0,1,0,0
UbZwYzkm43,4,3,"2023-07-23 04:05:10","2023-07-23 04:15:02",900,1,0,1,0,0
ugd2ld9wQA,1,4,"2023-07-22 00:16:10","2023-07-22 00:31:07",1050,1,0,0,0,0
ULatRTIpgI,11,4,"2023-07-23 05:26:04","2023-07-23 05:36:23",1200,1,0,1,0,0
UUXgAPKDuz,8,2,"2023-07-23 05:12:55","2023-07-23 05:24:07",600,1,0,1,0,0
v3gv-5Pww8,9,2,"2023-07-22 05:27:25","2023-07-22 05:56:47",700,1,0,0,0,0
v4aS5n16jF,6,2,"2023-07-23 04:00:06","2023-07-23 04:26:00",600,1,1,0,0,0
v4zZPzrSCQ,22,2,"2023-07-22 02:47:35","2023-07-22 02:55:00",600,1,0,1,0,0
vb8Ped6UIh,21,2,"2023-07-23 05:49:43","2023-07-23 06:00:01",600,1,0,1,0,0
vct_CDGSlD,3,1,"2023-07-23 03:52:46",,,0,0,0,0,0
VE1aRpn291,22,2,"2023-07-22 01:15:44","2023-07-22 01:31:27",700,1,0,0,0,0
vEIrUvMqnI,16,4,"2023-07-22 04:29:27","2023-07-22 04:40:53",1000,1,1,1,0,0
VetCkyBWE3,27,4,"2023-07-22 06:23:05","2023-07-22 06:31:34",1200,1,0,1,0,0
VfhFymJb_S,12,3,"2023-07-22 02:25:38","2023-07-22 02:36:13",900,1,0,1,0,0
vh3djlDuPi,26,1,"2023-07-22 04:44:25","2023-07-22 04:51:24",300,1,0,0,0,0
vkQOCga9kb,19,2,"2023-07-22 02:42:20","2023-07-22 02:52:17",600,1,0,1,0,0
VvFNJbWWe_,18,2,"2023-07-22 04:33:41","2023-07-22 04:45:11",600,1,0,1,0,0
vw3YsyJ_zj,17,2,"2023-07-22 02:38:19","2023-07-22 02:43:42",600,1,0,1,0,0
W63Eabc6mV,28,2,"2023-07-23 01:40:37","2023-07-23 01:40:54",600,1,0,1,0,0
WbubAieW2F,18,2,"2023-07-23 04:30:35","2023-07-23 04:40:58",600,1,0,1,0,0
wd625XB29a,28,2,"2023-07-23 03:52:28","2023-07-23 04:04:22",900,1,0,1,0,0
WFZZ0J1M3l,19,2,"2023-07-22 06:06:46","2023-07-22 06:12:42",600,1,0,1,0,0
WkeOJK7dmN,6,3,"2023-07-22 00:25:25","2023-07-22 00:43:13",1050,1,0,0,0,0
wkIhYORaJ_,17,3,"2023-07-22 07:17:37","2023-07-22 07:18:30",900,1,0,1,0,0
WKqd2t2qYm,24,1,"2023-07-23 04:40:07","2023-07-23 04:49:47",300,1,0,1,0,0
WmtN_H_k_O,4,2,"2023-07-22 05:12:07","2023-07-22 05:20:09",600,1,0,1,0,0
WrcAAksA9b,5,3,"2023-07-22 03:19:17","2023-07-22 03:27:34",750,1,1,1,0,0
WwGObCuUgE,12,1,"2023-07-22 03:33:47","2023-07-22 03:39:56",250,1,0,1,0,0
X4m6YGpTh_,10,5,"2023-07-23 03:07:42","2023-07-23 03:39:55",1750,1,0,0,0,0
x8fTRGbzsY,18,3,"2023-07-22 05:54:18","2023-07-22 06:03:53",900,1,0,1,0,0
XF1yr-J4IY,6,3,"2023-07-22 06:46:13","2023-07-22 06:55:57",900,1,0,1,0,0
XfHW1nZzv7,11,2,"2023-07-22 05:38:25","2023-07-22 05:46:18",600,1,0,1,0,0
xFmNex8oXz,17,3,"2023-07-23 05:39:41","2023-07-23 05:48:12",750,1,1,1,0,0
XNLgRYKI-0,7,2,"2023-07-22 06:52:03","2023-07-22 06:59:59",600,1,0,1,0,0
XyWMZmHcqs,25,4,"2023-07-22 01:28:55","2023-07-22 01:42:24",1200,1,0,1,0,0
y0xWwVyINz,3,2,"2023-07-25 08:56:40","2023-07-25 08:57:41",2450,1,0,0,0,0
y1_CwocMRP,8,2,"2023-07-22 03:28:32","2023-07-22 03:35:30",600,1,0,1,0,0
yAtOHUDEaV,9,3,"2023-07-23 00:33:14","2023-07-23 01:02:26",900,1,0,1,0,0
yCDA4HEawh,19,2,"2023-07-23 05:48:59","2023-07-23 06:01:13",800,1,1,1,0,0
yCG8w8A1XD,17,3,"2023-07-22 00:54:08","2023-07-22 01:13:28",1050,1,0,0,0,0
yhFwvHOCzP,19,3,"2023-07-22 01:12:05","2023-07-22 01:28:27",1050,1,0,0,0,0
YLW3dH4QKQ,17,1,"2023-07-23 03:26:59","2023-07-23 03:32:51",200,1,0,0,0,0
ypoAVhNYSc,22,3,"2023-07-23 04:42:38","2023-07-23 04:54:42",750,1,1,1,0,0
ytaKrpUQSK,20,4,"2023-07-23 04:42:12","2023-07-23 04:58:29",1200,1,1,0,0,0
yXJ1zc8Gdh,26,2,"2023-07-22 06:13:29","2023-07-22 06:35:39",600,1,0,1,0,0
ZaHH9KMWQE,24,2,"2023-07-23 03:42:48","2023-07-23 03:49:30",700,1,0,0,0,0
zcmLoQv683,1,2,"2023-07-22 05:13:58","2023-07-22 05:24:30",600,1,0,1,0,0
zKJCg9mfyl,4,2,"2023-07-23 05:06:35","2023-07-23 05:21:13",700,1,0,0,0,0
ZlcUIK5Crm,6,4,"2023-07-22 03:22:24","2023-07-22 03:31:18",1050,1,0,1,0,0
Zno5ORKl1x,13,1,"2023-07-22 07:06:41","2023-07-22 07:15:15",300,1,0,1,0,0
zPg7Zh9sZB,17,2,"2023-07-22 04:33:29","2023-07-22 05:17:22",600,1,0,1,0,0
ZPRpise-Hz,3,2,"2023-07-22 00:20:03","2023-07-22 00:42:56",700,1,0,0,0,0
ZSYeKR1EY7,22,3,"2023-07-23 01:12:18","2023-07-23 01:22:50",900,1,0,1,0,0
ZXi8pg7YFk,3,2,"2023-07-22 06:42:55","2023-07-22 06:57:55",600,1,0,1,0,0
